Date,Open,High,Low,Close,Volume
2014-04-01,123.71,123.85,123.11,123.39,5998286
2014-04-02,124.41,124.75,124.19,124.32,4907847
2014-04-03,123.75,124.26,123.59,123.92,3659603
2014-04-04,125.2,125.96,124.86,125.57,7278979
2014-04-07,125.07,125.47,124.84,124.91,3969823
2014-04-08,126.34,126.34,125.9,126.09,6946163
2014-04-09,125.46,126.72,125.33,126.32,5307863
2014-04-10,126.95,127.37,126.82,127.01,5008847
2014-04-11,127.04,127.31,126.73,126.93,4699538
2014-04-14,127.8,128.25,127.62,127.85,6680185
2014-04-15,124.79,125.7,124.6,125.49,9970175
2014-04-16,125.37,125.57,125.03,125.54,4072028
2014-04-17,125.38,125.53,124.57,124.75,5902491
2014-04-21,124.07,124.33,123.76,124.24,6579161
2014-04-22,124.15,124.16,122.92,123.78,6899367
2014-04-23,123.7,123.94,123.38,123.76,3741184
2014-04-24,122.87,125.12,122.84,124.56,8755120
2014-04-25,125.18,125.71,125.07,125.43,7025124
2014-04-28,125.3,125.34,124.45,124.88,4898101
2014-04-29,124.95,125.38,124.65,124.86,5241798
2014-04-30,124.19,125.05,123.82,124.22,10354278
2014-05-01,123.17,123.83,123.06,123.8,6687796
2014-05-02,123.69,125.67,123.33,125.06,9914822
2014-05-05,126.47,126.63,126.0,126.22,5202763
2014-05-06,126.02,126.11,125.63,125.98,3488007
2014-05-07,125.52,125.57,123.92,124.17,8471166
2014-05-08,124.19,124.47,123.89,124.17,3696147
2014-05-09,124.39,124.47,123.82,124.1,3119978
2014-05-12,125.4,125.42,124.69,124.94,4025958
2014-05-13,124.79,125.1,124.5,124.6,2643478
2014-05-14,125.8,125.96,125.44,125.81,4018583
2014-05-15,124.77,125.51,124.54,124.77,5862519
2014-05-16,124.35,124.77,124.29,124.5,4052154
2014-05-19,125.28,125.47,124.48,124.58,3903200
2014-05-20,124.12,124.91,124.09,124.69,3771117
2014-05-21,124.25,124.55,123.53,124.39,6848002
2014-05-22,125.14,125.24,124.54,124.67,3458801
2014-05-23,124.6,124.66,124.19,124.51,2206288
2014-05-27,122.98,123.07,121.75,121.85,10905402
2014-05-28,121.47,121.7,120.92,121.2,6741191
2014-05-29,120.78,121.46,120.77,120.94,5555563
2014-05-30,120.76,120.81,119.62,120.43,8753575
2014-06-02,119.93,120.46,119.61,119.7,5923679
2014-06-03,119.73,120.09,119.42,120.01,5010345
2014-06-04,120.1,120.16,119.68,119.76,3861805
2014-06-05,120.55,120.88,120.43,120.66,4183681
2014-06-06,120.68,120.77,119.94,120.61,4808750
2014-06-09,120.79,120.85,120.57,120.65,2789577
2014-06-10,121.29,121.47,121.21,121.39,3561677
2014-06-11,121.55,121.61,121.18,121.41,3573593
2014-06-12,121.92,122.75,121.83,122.64,7394697
2014-06-13,122.57,123.04,122.51,122.96,4026822
2014-06-16,122.88,123.01,122.3,122.42,5833646
2014-06-17,121.85,122.5,121.82,122.28,4035098
2014-06-18,122.22,122.8,122.09,122.67,4604909
2014-06-19,124.33,127.23,124.32,126.94,24374779
2014-06-20,126.32,127.07,126.21,126.5,9955149
2014-06-23,126.65,126.94,126.37,126.85,5142796
2014-06-24,127.22,127.32,126.73,126.98,6355294
2014-06-25,126.78,127.55,126.66,126.99,6695428
2014-06-26,126.53,126.92,126.2,126.73,5531190
2014-06-27,126.88,127.17,126.65,126.66,4200393
2014-06-30,126.53,128.04,126.37,128.04,18143018
2014-07-01,127.99,128.12,127.49,127.7,8148345
2014-07-02,127.76,128.24,127.64,127.7,5742612
2014-07-03,126.79,127.29,126.61,127.16,4922466
